dataset,signature_id,signature_name,contrast,endpoint,endpoint_definition,analysis_role,contrast_role,independence_status,favorable_group,adverse_group,favorable_n,adverse_n,patient_n,observation_n,interaction_beta_adverse_minus_favorable,interaction_se,ci95_lower,ci95_upper,p_value,mixedlm_converged,mixedlm_method,mixedlm_warning,primary_inference_method,primary_adjustment,paired_change_hc3_beta,paired_change_hc3_se,paired_change_hc3_ci95_lower,paired_change_hc3_ci95_upper,paired_change_hc3_p,primary_beta_adverse_minus_favorable,primary_se_hc3,primary_ci95_lower,primary_ci95_upper,primary_p_value,bootstrap_se,bootstrap_ci95_lower,bootstrap_ci95_upper,bootstrap_replicates,seed,ancova_adverse_beta,ancova_adverse_se_hc3,ancova_adverse_p_hc3,source_provenance,holm_adjusted_p_primary_four
GSE54514,SIG003,FAIM3:PLAC8,T48,source-defined survival status,Survivor or non-survivor label deposited with GSE54514; analyzed cohort-specifically because the public GEO record does not state a mortality horizon.,secondary source-defined survival context,primary source-defined contrast,OVERLAP_FLAGGED_EXPLORATORY,Survivor,Non-survivor,21,7,28,56,-0.3533901112724473,0.5150931546562941,-1.362954143081904,0.6561739205370092,0.49266878328964,True,lbfgs,Random effects covariance is singular | The MLE may be on the boundary of the parameter space.,paired-change contrast with HC3 covariance,none,-0.3533901112724429,0.5743557314698168,-1.4791066592674422,0.7723264367225564,0.5383692291531054,-0.3533901112724429,0.5743557314698168,-1.4791066592674422,0.7723264367225564,0.5383692291531054,0.505077446011687,-1.371426032196306,0.6166653368013304,2000,3148165571,-0.0930217102346689,0.1845623615955926,0.614252695983649,"GEO GSE54514; Parnell et al., Shock 2013, doi:10.1097/SHK.0b013e31829ee604",1.0
GSE54514,SIG004,sNIP,T48,source-defined survival status,Survivor or non-survivor label deposited with GSE54514; analyzed cohort-specifically because the public GEO record does not state a mortality horizon.,secondary source-defined survival context,primary source-defined contrast,OVERLAP_FLAGGED_EXPLORATORY,Survivor,Non-survivor,21,7,28,56,-0.2092338886631335,0.563741712713587,-1.31414734216469,0.8956795648384228,0.7105242897909672,True,lbfgs,Random effects covariance is singular,paired-change contrast with HC3 covariance,none,-0.2092338886631327,0.5668215542992263,-1.3201837207506308,0.9017159434243656,0.7120268203776978,-0.2092338886631327,0.5668215542992263,-1.3201837207506308,0.9017159434243656,0.7120268203776978,0.5039158084180897,-1.1252631083066669,0.7940998667525263,2000,3244816430,0.095407814070918,0.2772238506101501,0.7307301569123144,"GEO GSE54514; Parnell et al., Shock 2013, doi:10.1097/SHK.0b013e31829ee604",1.0
GSE54514,SIG022,Bacterial/Viral MetaScore,T48,source-defined survival status,Survivor or non-survivor label deposited with GSE54514; analyzed cohort-specifically because the public GEO record does not state a mortality horizon.,secondary source-defined survival context,primary source-defined contrast,PRIMARY_INDEPENDENT,Survivor,Non-survivor,21,7,28,56,0.3667526558830047,0.4020116660927568,-0.4211757310237406,1.15468104278975,0.3616142011051294,True,lbfgs,Random effects covariance is singular | The MLE may be on the boundary of the parameter space.,paired-change contrast with HC3 covariance,none,0.3667526558830041,0.3332344729644793,-0.2863749095345616,1.0198802213005698,0.2710775867360555,0.3667526558830041,0.3332344729644793,-0.2863749095345616,1.0198802213005698,0.2710775867360555,0.2944894016958642,-0.2177700975801432,0.9344723873468664,2000,683474775,1.8429152370344264,0.2605631937452474,1.518219540041276e-12,"GEO GSE54514; Parnell et al., Shock 2013, doi:10.1097/SHK.0b013e31829ee604",
GSE54514,SIG023,Herberg two-gene DRS,T48,source-defined survival status,Survivor or non-survivor label deposited with GSE54514; analyzed cohort-specifically because the public GEO record does not state a mortality horizon.,secondary source-defined survival context,primary source-defined contrast,PRIMARY_INDEPENDENT,Survivor,Non-survivor,21,7,28,56,-0.5893101996562905,0.4627208758221422,-1.4962264511625198,0.3176060518499389,0.2028137242233895,True,lbfgs,Random effects covariance is singular | The MLE may be on the boundary of the parameter space.,paired-change contrast with HC3 covariance,none,-0.5893101996562904,0.4901965843863443,-1.5500778503980746,0.3714574510854939,0.2292893160553534,-0.5893101996562904,0.4901965843863443,-1.5500778503980746,0.3714574510854939,0.2292893160553534,0.434267586637847,-1.4235300916914206,0.2837830481006242,2000,3236485992,-1.3838437790426088,0.2125065309883619,7.415381655525309e-11,"GEO GSE54514; Parnell et al., Shock 2013, doi:10.1097/SHK.0b013e31829ee604",
GSE54514,SIG033,Lin seven-gene mortality score,T48,source-defined survival status,Survivor or non-survivor label deposited with GSE54514; analyzed cohort-specifically because the public GEO record does not state a mortality horizon.,secondary source-defined survival context,primary source-defined contrast,PRIMARY_INDEPENDENT,Survivor,Non-survivor,21,7,28,56,0.3167797238275114,0.5275478756911489,-0.717195112647754,1.3507545603027769,0.54818919543578,True,lbfgs,Random effects covariance is singular,paired-change contrast with HC3 covariance,none,0.3167797238275179,0.7035181455332438,-1.0620905038880482,1.6956499515430838,0.6525089955234153,0.3167797238275179,0.7035181455332438,-1.0620905038880482,1.6956499515430838,0.6525089955234153,0.6079139101661577,-0.8250834984338424,1.5404833087167018,2000,3695276978,0.8580533861015247,0.4988353721139255,0.0854118383922165,"GEO GSE54514; Parnell et al., Shock 2013, doi:10.1097/SHK.0b013e31829ee604",
GSE54514,SIG034,Severe-or-Mild score,T48,source-defined survival status,Survivor or non-survivor label deposited with GSE54514; analyzed cohort-specifically because the public GEO record does not state a mortality horizon.,secondary source-defined survival context,primary source-defined contrast,PRIMARY_INDEPENDENT,Survivor,Non-survivor,21,7,28,56,1.0155765009108326,0.551022670917667,-0.0644080887528608,2.095561090574526,0.0653179571044901,True,lbfgs,Random effects covariance is singular | Random effects covariance is singular | Random effects covariance is singular | The MLE may be on the boundary of the parameter space.,paired-change contrast with HC3 covariance,none,1.0155765009108426,0.5505663444482747,-0.0635137053076497,2.094666707129335,0.0650952652766539,1.0155765009108426,0.5505663444482747,-0.0635137053076497,2.094666707129335,0.0650952652766539,0.4922520532535686,0.0826896164225578,1.97042653532384,2000,3778908417,0.7003247094495177,0.2397404769955032,0.0034871005549105,"GEO GSE54514; Parnell et al., Shock 2013, doi:10.1097/SHK.0b013e31829ee604",
GSE95233,SIG001,Sepsis MetaScore,Admission to D2/D3,28-day survival,Day-28 survivor or non-survivor label deposited with GSE95233.,primary clinical-course anchor,primary within-endpoint contrast,PRIMARY_INDEPENDENT,Survivor,Non-survivor,34,17,51,102,1.0106301129694752,0.2505868727858687,0.5194888673106524,1.501771358628298,5.505688039201222e-05,True,lbfgs,,paired-change contrast with HC3 covariance,follow-up day (D3 vs D2),1.0106301129694748,0.2320142499758117,0.5558905391168107,1.4653696868221389,1.3252324939419645e-05,1.0106301129694748,0.2320142499758117,0.5558905391168107,1.4653696868221389,1.3252324939419645e-05,0.2202025954307685,0.5784966751396641,1.440134955417859,2000,416849725,1.0189510969932556,0.2278393599968186,7.740639466664298e-06,GEO GSE95233; doi:10.1016/j.jinf.2018.11.012,5.300929975767858e-05
GSE95233,SIG002,SeptiCyte LAB,Admission to D2/D3,28-day survival,Day-28 survivor or non-survivor label deposited with GSE95233.,primary clinical-course anchor,primary within-endpoint contrast,PRIMARY_INDEPENDENT,Survivor,Non-survivor,34,17,51,102,0.4292029054948804,0.3346202949337454,-0.2266408210714314,1.0850466320611922,0.1996124366288082,True,lbfgs,Random effects covariance is singular,paired-change contrast with HC3 covariance,follow-up day (D3 vs D2),0.4292029054948768,0.2960243655387522,-0.1509941895073974,1.009400000497151,0.1470890662351452,0.4292029054948768,0.2960243655387522,-0.1509941895073974,1.009400000497151,0.1470890662351452,0.2803185647784278,-0.104022130640435,0.971764774291632,2000,3922069341,0.3374063670369682,0.2854278805268126,0.2371631478927347,GEO GSE95233; doi:10.1016/j.jinf.2018.11.012,0.1470890662351452
GSE95233,SIG003,FAIM3:PLAC8,Admission to D2/D3,28-day survival,Day-28 survivor or non-survivor label deposited with GSE95233.,primary clinical-course anchor,primary within-endpoint contrast,PRIMARY_INDEPENDENT,Survivor,Non-survivor,34,17,51,102,1.089407337122384,0.3569847304529701,0.3897301224038236,1.7890845518409444,0.0022755569548148,True,lbfgs,Random effects covariance is singular,paired-change contrast with HC3 covariance,follow-up day (D3 vs D2),1.0894073371223796,0.3398416210488129,0.4233299994189972,1.755484674825762,0.0013476599603015,1.0894073371223796,0.3398416210488129,0.4233299994189972,1.755484674825762,0.0013476599603015,0.3197931542783182,0.4672573975257602,1.7114434143026669,2000,3083589726,0.9899896739823102,0.3011697690789097,0.0010120754474586,GEO GSE95233; doi:10.1016/j.jinf.2018.11.012,0.002695319920603
GSE95233,SIG004,sNIP,Admission to D2/D3,28-day survival,Day-28 survivor or non-survivor label deposited with GSE95233.,primary clinical-course anchor,primary within-endpoint contrast,PRIMARY_INDEPENDENT,Survivor,Non-survivor,34,17,51,102,-1.1611836920379586,0.3407242639316813,-1.8289909780029736,-0.4933764060729433,0.0006544413215038,True,lbfgs,Random effects covariance is singular,paired-change contrast with HC3 covariance,follow-up day (D3 vs D2),-1.161183692037963,0.3371783968634899,-1.8220412062553564,-0.5003261778205698,0.0005735449226021,-1.161183692037963,0.3371783968634899,-1.8220412062553564,-0.5003261778205698,0.0005735449226021,0.3200602240909818,-1.7609535468223887,-0.5205644561727816,2000,2475948676,-1.0700706309164647,0.3278852454577813,0.0011002489402461,GEO GSE95233; doi:10.1016/j.jinf.2018.11.012,0.0017206347678064
GSE95233,SIG022,Bacterial/Viral MetaScore,Admission to D2/D3,28-day survival,Day-28 survivor or non-survivor label deposited with GSE95233.,primary clinical-course anchor,primary within-endpoint contrast,PRIMARY_INDEPENDENT,Survivor,Non-survivor,34,17,51,102,-0.4555142721781732,0.2054643684335728,-0.8582170344142444,-0.0528115099421019,0.0266231689039017,True,lbfgs,,paired-change contrast with HC3 covariance,follow-up day (D3 vs D2),-0.4555142721781727,0.2134990192497733,-0.8739646606423521,-0.0370638837139933,0.0328783145567232,-0.4555142721781727,0.2134990192497733,-0.8739646606423521,-0.0370638837139933,0.0328783145567232,0.1990900751392979,-0.8658853884386774,-0.0782823155935172,2000,4092245983,-0.3568309294239672,0.1934733999034094,0.0651334556723148,GEO GSE95233; doi:10.1016/j.jinf.2018.11.012,
GSE95233,SIG023,Herberg two-gene DRS,Admission to D2/D3,28-day survival,Day-28 survivor or non-survivor label deposited with GSE95233.,primary clinical-course anchor,primary within-endpoint contrast,PRIMARY_INDEPENDENT,Survivor,Non-survivor,34,17,51,102,0.0436690607065715,0.2154018097101612,-0.3785107285300946,0.4658488499432377,0.8393437080831365,True,lbfgs,,paired-change contrast with HC3 covariance,follow-up day (D3 vs D2),0.0436690607065714,0.2055953629047455,-0.359290445975172,0.4466285673883149,0.8317926878597104,0.0436690607065714,0.2055953629047455,-0.359290445975172,0.4466285673883149,0.8317926878597104,0.1908008197395247,-0.331515533969676,0.4117980283671909,2000,4286777210,0.0591759516154955,0.2013762803345043,0.7688667141552261,GEO GSE95233; doi:10.1016/j.jinf.2018.11.012,
GSE95233,SIG033,Lin seven-gene mortality score,Admission to D2/D3,28-day survival,Day-28 survivor or non-survivor label deposited with GSE95233.,primary clinical-course anchor,primary within-endpoint contrast,PRIMARY_INDEPENDENT,Survivor,Non-survivor,34,17,51,102,-0.3241519450504016,0.297321151497018,-0.906890693826534,0.2585868037257308,0.275606648289238,True,lbfgs,Random effects covariance is singular,paired-change contrast with HC3 covariance,follow-up day (D3 vs D2),-0.3241519450503977,0.3391628903628161,-0.9888989950540242,0.3405951049532288,0.3392030059961051,-0.3241519450503977,0.3391628903628161,-0.9888989950540242,0.3405951049532288,0.3392030059961051,0.3235167950945401,-0.954809302210422,0.2830641096762833,2000,2775809688,0.1729504263354304,0.2778718657477767,0.5336718372778915,GEO GSE95233; doi:10.1016/j.jinf.2018.11.012,
GSE95233,SIG034,Severe-or-Mild score,Admission to D2/D3,28-day survival,Day-28 survivor or non-survivor label deposited with GSE95233.,primary clinical-course anchor,primary within-endpoint contrast,PRIMARY_INDEPENDENT,Survivor,Non-survivor,34,17,51,102,0.2850347688538139,0.2145673824886544,-0.135509573080979,0.7055791107886068,0.1840406783486655,True,lbfgs,,paired-change contrast with HC3 covariance,follow-up day (D3 vs D2),0.2850347688538144,0.2455497268445166,-0.1962338521750862,0.766303389882715,0.2457221729836902,0.2850347688538144,0.2455497268445166,-0.1962338521750862,0.766303389882715,0.2457221729836902,0.2325536284571186,-0.1730477377782443,0.7295414482928885,2000,1767732565,0.4322042107276378,0.2375083373027736,0.0687981026283614,GEO GSE95233; doi:10.1016/j.jinf.2018.11.012,
GSE110487,SIG001,Sepsis MetaScore,T48,source-defined organ-function course group,Non-response was defined by source investigators as SOFA(T1)-SOFA(T2)<5 together with SOFA(T2)>8; all other patients were responders.,primary clinical-course anchor,primary within-endpoint contrast,PRIMARY_INDEPENDENT,R,NR,17,14,31,62,-0.4515083320955408,0.2589442070881212,-0.9590296519935396,0.0560129878024581,0.0812199601372286,True,lbfgs,,paired-change contrast with HC3 covariance,none,-0.4515083320955398,0.2611078223131729,-0.9632702599110426,0.0602535957199629,0.0837728364842238,-0.4515083320955398,0.2611078223131729,-0.9632702599110426,0.0602535957199629,0.0837728364842238,0.245155783025581,-0.9307862443762904,0.0085185949732452,2000,696835660,-0.2267976183788346,0.2529009426044269,0.3698339773721382,"GEO GSE110487; Barcella et al., Crit Care 2018, doi:10.1186/s13054-018-2242-3",0.3350913459368955
GSE110487,SIG002,SeptiCyte LAB,T48,source-defined organ-function course group,Non-response was defined by source investigators as SOFA(T1)-SOFA(T2)<5 together with SOFA(T2)>8; all other patients were responders.,primary clinical-course anchor,primary within-endpoint contrast,PRIMARY_INDEPENDENT,R,NR,17,14,31,62,-0.291062682909723,0.3473129759495981,-0.9717836071343614,0.3896582413149153,0.4020074034448028,True,lbfgs,Random effects covariance is singular,paired-change contrast with HC3 covariance,none,-0.2910626829097255,0.3751580350812686,-1.0263589201798262,0.4442335543603751,0.4378433480154454,-0.2910626829097255,0.3751580350812686,-1.0263589201798262,0.4442335543603751,0.4378433480154454,0.3420240622173763,-0.9451206748429036,0.3850458426241404,2000,2985712032,-0.0877181094753284,0.3244034515097012,0.7868539244674688,"GEO GSE110487; Barcella et al., Crit Care 2018, doi:10.1186/s13054-018-2242-3",1.0
GSE110487,SIG003,FAIM3:PLAC8,T48,source-defined organ-function course group,Non-response was defined by source investigators as SOFA(T1)-SOFA(T2)<5 together with SOFA(T2)>8; all other patients were responders.,primary clinical-course anchor,primary within-endpoint contrast,PRIMARY_INDEPENDENT,R,NR,17,14,31,62,-0.1265261996893263,0.3078913852111067,-0.7299822258532437,0.476929826474591,0.6811134018893547,True,lbfgs,,paired-change contrast with HC3 covariance,none,-0.1265261996893286,0.3170289382824603,-0.7478915007799226,0.4948391014012653,0.6898196375029771,-0.1265261996893286,0.3170289382824603,-0.7478915007799226,0.4948391014012653,0.6898196375029771,0.2988155068768306,-0.7365742423772476,0.4549147694515936,2000,354616621,-0.0175636766538826,0.2797679603247541,0.9499421358661656,"GEO GSE110487; Barcella et al., Crit Care 2018, doi:10.1186/s13054-018-2242-3",1.0
GSE110487,SIG004,sNIP,T48,source-defined organ-function course group,Non-response was defined by source investigators as SOFA(T1)-SOFA(T2)<5 together with SOFA(T2)>8; all other patients were responders.,primary clinical-course anchor,primary within-endpoint contrast,PRIMARY_INDEPENDENT,R,NR,17,14,31,62,-0.0427194762507281,0.2796344889962378,-0.5907930035186162,0.5053540510171599,0.8785804592427944,True,lbfgs,,paired-change contrast with HC3 covariance,none,-0.0427194762507264,0.2956473415255529,-0.6221776177658233,0.5367386652643703,0.8851098350955305,-0.0427194762507264,0.2956473415255529,-0.6221776177658233,0.5367386652643703,0.8851098350955305,0.2755321230593655,-0.6048744462758648,0.4739520310378239,2000,8555606,-0.137317455384431,0.2377661941282982,0.5635804979912615,"GEO GSE110487; Barcella et al., Crit Care 2018, doi:10.1186/s13054-018-2242-3",1.0
GSE110487,SIG022,Bacterial/Viral MetaScore,T48,source-defined organ-function course group,Non-response was defined by source investigators as SOFA(T1)-SOFA(T2)<5 together with SOFA(T2)>8; all other patients were responders.,primary clinical-course anchor,primary within-endpoint contrast,PRIMARY_INDEPENDENT,R,NR,17,14,31,62,-0.1979704852084737,0.2076404199313834,-0.604938230008758,0.2089972595918105,0.3403725409375777,True,lbfgs,,paired-change contrast with HC3 covariance,none,-0.1979704852084735,0.2088966908530446,-0.6074004757700388,0.2114595053530917,0.3432844161262911,-0.1979704852084735,0.2088966908530446,-0.6074004757700388,0.2114595053530917,0.3432844161262911,0.194491717779653,-0.5676561581878496,0.1883335607627613,2000,2131703203,-0.3062679120299942,0.1904526266317327,0.1078120798456351,"GEO GSE110487; Barcella et al., Crit Care 2018, doi:10.1186/s13054-018-2242-3",
GSE110487,SIG023,Herberg two-gene DRS,T48,source-defined organ-function course group,Non-response was defined by source investigators as SOFA(T1)-SOFA(T2)<5 together with SOFA(T2)>8; all other patients were responders.,primary clinical-course anchor,primary within-endpoint contrast,PRIMARY_INDEPENDENT,R,NR,17,14,31,62,0.2416739913454487,0.2508454831644044,-0.2499741213413324,0.73332210403223,0.3353279226335861,True,lbfgs,,paired-change contrast with HC3 covariance,none,0.2416739913454489,0.2525666623409981,-0.2533475705383962,0.7366955532292943,0.3386318174197085,0.2416739913454489,0.2525666623409981,-0.2533475705383962,0.7366955532292943,0.3386318174197085,0.244478097599668,-0.2524364266003863,0.7105188886550127,2000,1943376318,0.3254659652971393,0.2166470091974147,0.1330230286267179,"GEO GSE110487; Barcella et al., Crit Care 2018, doi:10.1186/s13054-018-2242-3",
